
2022/08/23 (15:33:21) | ===> btop++ v.1.2.8
2022/08/23 (15:33:21) | WARNING: Failed to join _runner thread on exit!

2022/08/30 (13:26:38) | ===> btop++ v.1.2.9
2022/08/30 (13:26:38) | WARNING: Failed to join _runner thread on exit!

2022/08/30 (13:27:18) | ===> btop++ v.1.2.9
2022/08/30 (13:27:18) | WARNING: Failed to join _runner thread on exit!

2022/08/30 (21:39:51) | ===> btop++ v.1.2.9
2022/08/30 (21:39:51) | WARNING: Failed to join _runner thread on exit!

2022/09/01 (14:02:44) | ===> btop++ v.1.2.9
2022/09/01 (14:02:44) | WARNING: Failed to join _runner thread on exit!

2022/09/05 (00:57:12) | ===> btop++ v.1.2.9
2022/09/05 (00:57:12) | WARNING: Failed to join _runner thread on exit!

2022/09/05 (20:03:25) | ===> btop++ v.1.2.9
2022/09/05 (20:03:25) | WARNING: Failed to join _runner thread on exit!

2022/09/07 (11:05:09) | ===> btop++ v.1.2.9
2022/09/07 (11:05:09) | WARNING: Failed to join _runner thread on exit!

2022/09/07 (12:05:36) | ===> btop++ v.1.2.9
2022/09/07 (12:05:36) | WARNING: Failed to join _runner thread on exit!

2022/09/07 (12:07:07) | ===> btop++ v.1.2.9
2022/09/07 (12:07:07) | WARNING: Failed to join _runner thread on exit!

2022/09/07 (12:07:08) | ===> btop++ v.1.2.9
2022/09/07 (12:07:08) | WARNING: Failed to join _runner thread on exit!

2022/09/11 (22:37:32) | ===> btop++ v.1.2.9
2022/09/11 (22:37:32) | WARNING: Failed to join _runner thread on exit!

2022/09/16 (21:54:46) | ===> btop++ v.1.2.9
2022/09/16 (21:54:46) | WARNING: Failed to join _runner thread on exit!

2022/09/17 (12:18:43) | ===> btop++ v.1.2.9
2022/09/17 (12:18:43) | WARNING: Failed to join _runner thread on exit!

2022/09/17 (14:44:23) | ===> btop++ v.1.2.9
2022/09/17 (14:44:23) | ERROR: Invalid RGB decimal value: "ba1a84"
